antigen	outcome	n_snp	OR_mvmr	L95_mvmr	U95_mvmr	P_mvmr	F_cond_antigen	F_cond_BMI	F_cond_smoking	F_cond_education	Q_stat	Q_pval	valid	method	OR_uni	L95_uni	U95_uni	P_uni
omp	crohn	395	1.00098149982001	0.9088119554957	1.10249865984148	0.98412921813785	1.06157758522773	27.9789586380127	4.61351257789931	8.60405796331544	573.873898075522	3.56753945646608e-09	WEAK (F_cond<10)	MVMR-IVW (Sanderson 2019)	0.835704594388312	0.714735475401862	0.977147760420111	0.0244631887423943
vacA	stroke_isch	394	1.00303837250701	0.974017396680472	1.03292403210696	0.839610021748831	1.10864825533434	25.2906678225187	4.47055910521762	8.33986315756317	469.050604522812	0.00329072976905165	WEAK (F_cond<10)	MVMR-IVW (Sanderson 2019)	1.03525753478371	1.00230477324741	1.06929368385027	0.0357739426781278
catalase	crc	392	0.992166968105882	0.956686287724898	1.02896352255808	0.672344025618952	1.10177006570875	27.1161967718652	4.6085022600102	8.29663101196586	429.834349296847	0.0655212210985532	WEAK (F_cond<10)	MVMR-IVW (Sanderson 2019)	0.93954882960295	0.883582224493662	0.999060391594156	0.0465908725352687
vacA	t2d	359	1.0313146656383	0.970405250793912	1.09604718100039	0.321501355570143	1.0356800849001	27.4037654006912	4.66537783480895	9.08160902000971	2554.51825606334	0	WEAK (F_cond<10)	MVMR-IVW (Sanderson 2019)	0.95918852519484	0.919392016455492	1.00070765288181	0.053944738182734
cagA	ida	391	0.986760638789829	0.962673778417972	1.01145017148494	0.29115393602577	1.0552924404778	24.0811597321485	4.43900290264207	8.75219558353425	385.233766262642	0.501434119079311	WEAK (F_cond<10)	MVMR-IVW (Sanderson 2019)	1.03973989667962	0.997305282722103	1.08398007257781	0.0667912224774919
omp	sle	346	1.05203943094242	0.928999906057034	1.19137467834114	0.424591000524108	1.09951563278319	27.7544988961817	4.75254241278987	8.20121333692213	496.862337115641	6.87062959447184e-08	WEAK (F_cond<10)	MVMR-IVW (Sanderson 2019)	1.50167253807872	0.964857537405077	2.33715374985255	0.0716260589519805
vacA	ida	394	1.00449489597831	0.974230034123392	1.03569994837448	0.774010550698021	1.11106155184012	25.1937639925121	4.50128787228475	8.29470679725644	392.481289869207	0.441042653475529	WEAK (F_cond<10)	MVMR-IVW (Sanderson 2019)	0.968786788062717	0.935671357235493	1.00307424553198	0.0739342091228088
ureA	crc	391	0.95067435879827	0.911121175106989	0.991944607554945	0.0201578424389622	1.13068053869217	28.5006687362793	4.66025503039187	7.89783482189505	415.537347246148	0.144355550726156	WEAK (F_cond<10)	MVMR-IVW (Sanderson 2019)	0.949003037559768	0.894571670774936	1.00674635104139	0.0824066237495761
catalase	parkinson	391	1.01568363575447	0.956541854621619	1.07848207891279	0.611449730370326	1.10276962513514	26.9089115762137	4.59778635486921	8.35473503703377	488.691423094972	0.000296584338517856	WEAK (F_cond<10)	MVMR-IVW (Sanderson 2019)	1.07730381486818	0.988634135198976	1.1739261959592	0.0892901102466766
vacA	uc	395	1.03468386282246	0.966067462491096	1.10817384660138	0.330698164881851	1.11043060184572	25.2857400795847	4.48988732945633	8.27487139622595	575.312278885088	2.81067321990347e-09	WEAK (F_cond<10)	MVMR-IVW (Sanderson 2019)	0.942858556953148	0.880770715406545	1.00932313355745	0.0904580595897151
omp	alzheimer	389	1.00925295260943	0.974752235101526	1.04497480043711	0.604051943479849	1.06483344099732	27.1502160829967	4.50099836688737	8.6408508245248	574.275552252958	9.83504337896515e-10	WEAK (F_cond<10)	MVMR-IVW (Sanderson 2019)	0.965449519892262	0.926599337017482	1.00592860174107	0.0933627276773281
hpylori_general	stroke_isch	391	1.00398881520557	0.864284887093836	1.16627463479926	0.958496141759158	1.16217881399424	27.225139439307	4.59774660039257	7.27897378361477	464.29907956708	0.00378235439044649	WEAK (F_cond<10)	MVMR-IVW (Sanderson 2019)	0.850523382690445	0.703576210758232	1.02816157431419	0.0943240126914947
